key,context,en,de,es,fr,it,pt-br,ja,ko,zh-hans,zh-hant
page.press-kit.title,Page title | Press Kit page,Press Kit,Pressekit,Kit de prensa,Kit de presse,Press Kit,Kit de imprensa,プレスキット,프레스 키트,媒体资料,媒體資料
page.press-kit.description,Meta description | Press Kit page,"Download {Sushi Ben} logos, screenshots, fact sheet details, trailer links, and press contact information.","Laden Sie Logos, Screenshots, Fact-Sheet-Details, Trailer-Links und Pressekontaktinformationen zu {Sushi Ben} herunter.","Descarga logotipos, capturas de pantalla, detalles de la ficha técnica, enlaces a tráilers e información de contacto de prensa de {Sushi Ben}.","Téléchargez les logos, captures d’écran, détails de la fiche d’information, liens vers les bandes-annonces et coordonnées presse de {Sushi Ben}.","Scarica loghi, screenshot, dettagli della scheda informativa, link ai trailer e informazioni di contatto stampa di {Sushi Ben}.","Baixe logos, capturas de tela, detalhes da ficha técnica, links de trailer e informações de contato de imprensa de {Sushi Ben}.",{Sushi Ben} のロゴ、スクリーンショット、ファクトシート、トレーラーリンク、プレス向け連絡先情報をダウンロードできます。,"{Sushi Ben} 로고, 스크린샷, 팩트 시트 정보, 트레일러 링크, 언론 문의 정보를 다운로드하세요.",下载 {Sushi Ben} 的 logo、截图、资料表详情、预告片链接以及媒体联系方式。,下載 {Sushi Ben} 的 logo、截圖、資料表詳情、預告片連結以及媒體聯絡資訊。
press.hero.title,Heading | Press Kit hero section,Press Kit,Pressekit,Kit de prensa,Kit de presse,Press Kit,Kit de imprensa,プレスキット,프레스 키트,媒体资料,媒體資料
press.hero.intro,Body text | Press Kit hero section,"is a cozy, anime-inspired narrative adventure about saving a beloved sushi bar from greedy landsharks in Kotobuki Town.","Ein gemütliches, vom Anime inspiriertes Erzählabenteuer über die Rettung einer geliebten Sushi-Bar vor gierigen Spekulanten in Kotobuki Town.",Una acogedora aventura narrativa inspirada en el anime sobre salvar un querido bar de sushi de codiciosos especuladores en Kotobuki Town.,"Une aventure narrative chaleureuse inspirée des anime, où il faut sauver un bar à sushi bien-aimé des griffes de promoteurs cupides à Kotobuki Town.",Un’accogliente avventura narrativa ispirata agli anime in cui salvare un amato sushi bar da avidi speculatori a Kotobuki Town.,Uma aconchegante aventura narrativa inspirada em anime sobre salvar um querido sushi bar das mãos de especuladores gananciosos em Kotobuki Town.,コトブキタウンで、強欲な地上げ屋から大切な寿司バーを救う、心温まるアニメ風ナラティブアドベンチャー。,코토부키 타운에서 탐욕스러운 부동산 업자들로부터 사랑받는 스시 바를 지켜내는 따뜻한 분위기의 애니메이션풍 내러티브 어드벤처.,一款温馨、充满动画风格的叙事冒险游戏，讲述在 Kotobuki Town 从贪婪的地产投机者手中拯救心爱寿司吧的故事。,一款溫馨、充滿動畫風格的敘事冒險遊戲，講述在 Kotobuki Town 從貪婪的地產投機者手中拯救心愛壽司吧的故事。
press.trailer.title,Iframe title | Press Kit trailer embed,{Sushi Ben} Trailer,{Sushi Ben}-Trailer,Tráiler de {Sushi Ben},Bande-annonce de {Sushi Ben},Trailer di {Sushi Ben},Trailer de {Sushi Ben},{Sushi Ben} トレーラー,{Sushi Ben} 트레일러,{Sushi Ben} 预告片,{Sushi Ben} 預告片
press.short_description.title,Heading | Press Kit short description section,Short Description,Kurzbeschreibung,Descripción breve,Description courte,Descrizione breve,Descrição curta,概要,짧은 소개,简短介绍,簡短介紹
press.key_features.title,Heading | Press Kit key features section,Key Features,Hauptmerkmale,Características principales,Points clés,Caratteristiche principali,Principais recursos,主な特徴,주요 특징,主要特色,主要特色
press.logos.title,Heading | Press Kit logos section,Logos,Logos,Logotipos,Logos,Loghi,Logos,ロゴ,로고,Logo,Logo
press.download_media,Button label | Press Kit media pack download,Download Media Pack,Medienpaket herunterladen,Descargar paquete de medios,Télécharger le kit média,Scarica media pack,Baixar pacote de mídia,メディアパックをダウンロード,미디어 팩 다운로드,下载媒体包,下載媒體包
press.download_press_kit,Button label | Legacy Google Drive press kit download,Download Press Kit,Pressekit herunterladen,Descargar kit de prensa,Télécharger le kit de presse,Scarica press kit,Baixar kit de imprensa,プレスキットをダウンロード,프레스 키트 다운로드,下载新闻资料包,下載新聞資料包
press.download_creator_kit,Button label | Legacy Google Drive creator kit download,Download Creator Kit,Creator-Kit herunterladen,Descargar kit para creadores,Télécharger le kit créateur,Scarica creator kit,Baixar kit de criador,クリエイターキットをダウンロード,크리에이터 키트 다운로드,下载创作者资料包,下載創作者資料包
press.screenshots.title,Heading | Press Kit screenshots section,Screenshots,Screenshots,Capturas de pantalla,Captures d’écran,Screenshot,Capturas de tela,スクリーンショット,스크린샷,截图,截圖
press.full_description.title,Heading | Press Kit full description section,Full Description,Vollständige Beschreibung,Descripción completa,Description complète,Descrizione completa,Descrição completa,詳細説明,상세 설명,完整介绍,完整介紹
press.gameplay_story.title,Heading | Press Kit gameplay and story section,Gameplay + Story,Gameplay + Story,Jugabilidad + historia,Gameplay + Histoire,Gameplay + Storia,Jogabilidade + História,ゲームプレイとストーリー,게임플레이 + 스토리,玩法 + 剧情,玩法 + 劇情
press.gameplay_story.item1,Bullet | Press Kit gameplay and story section,Meet and bond with residents through character-driven quests.,Lernen Sie die Bewohner durch charakterorientierte Quests kennen und bauen Sie Beziehungen zu ihnen auf.,Conoce a los residentes y crea vínculos con ellos a través de misiones centradas en los personajes.,Rencontrez les habitants et créez des liens avec eux grâce à des quêtes centrées sur les personnages.,Incontra gli abitanti e crea legami con loro attraverso missioni incentrate sui personaggi.,Conheça os moradores e crie laços com eles por meio de missões guiadas pelos personagens.,キャラクター主導のクエストを通じて住民と出会い、絆を深めよう。,캐릭터 중심 퀘스트를 통해 주민들을 만나고 유대감을 쌓으세요.,通过角色驱动的任务结识居民，并与他们建立羁绊。,透過角色驅動的任務結識居民，並與他們建立羈絆。
press.gameplay_story.item2,Bullet | Press Kit gameplay and story section,"Take on mini-activities including fishing, archery, and more.","Nehmen Sie an Mini-Aktivitäten wie Angeln, Bogenschießen und mehr teil.","Participa en miniactividades como pesca, tiro con arco y mucho más.","Participez à des mini-activités comme la pêche, le tir à l’arc et bien plus encore.","Affronta mini-attività tra cui pesca, tiro con l’arco e molto altro.","Participe de miniactividades como pesca, arco e flecha e muito mais.",釣りやアーチェリーなど、さまざまなミニアクティビティに挑戦しよう。,"낚시, 양궁 등 다양한 미니 활동을 즐겨 보세요.",体验钓鱼、射箭等多种小游戏活动。,體驗釣魚、射箭等多種小遊戲活動。
press.gameplay_story.item3,Bullet | Press Kit gameplay and story section,Uncover local stories while building momentum to save the sushi bar.,"Entdecken Sie lokale Geschichten und gewinnen Sie zugleich an Schwung, um die Sushi-Bar zu retten.",Descubre historias locales mientras cobras impulso para salvar el bar de sushi.,Découvrez des histoires locales tout en prenant de l’élan pour sauver le bar à sushi.,Scopri storie locali mentre accumuli slancio per salvare il sushi bar.,Descubra histórias locais enquanto ganha impulso para salvar o sushi bar.,寿司バーを救うために奔走しながら、街に根づく物語をひも解いていこう。,스시 바를 구하기 위한 여정을 이어가며 지역의 이야기를 밝혀내세요.,在努力拯救寿司吧的过程中，逐步揭开这座小镇的故事。,在努力拯救壽司吧的過程中，逐步揭開這座小鎮的故事。
press.gameplay_story.item4,Bullet | Press Kit gameplay and story section,Designed for cozy pacing with expressive visuals and strong performances.,Entwickelt für ein entspanntes Tempo mit ausdrucksstarker Optik und starken Darbietungen.,"Diseñado con un ritmo acogedor, visuales expresivos e interpretaciones destacadas.","Conçu avec un rythme chaleureux, des visuels expressifs et des performances marquantes.","Pensato con un ritmo rilassato, immagini espressive e interpretazioni di alto livello.","Projetado com ritmo acolhedor, visuais expressivos e ótimas performances.",穏やかなテンポ、表情豊かなビジュアル、印象的な演技で彩られた作品。,"편안한 진행감, 풍부한 비주얼, 인상적인 연기가 어우러진 작품입니다.",以舒适的节奏、富有表现力的视觉效果和出色演绎打造而成。,以舒適的節奏、富有表現力的視覺效果和出色演繹打造而成。
press.soundtrack.title,Heading | Press Kit soundtrack section,Soundtrack,Soundtrack,Banda sonora,Bande originale,Colonna sonora,Trilha sonora,サウンドトラック,사운드트랙,原声带,原聲帶
press.soundtrack.embed_title,Iframe title | Press Kit soundtrack embed,{Sushi Ben} soundtrack on Spotify,{Sushi Ben}-Soundtrack auf Spotify,Banda sonora de {Sushi Ben} en Spotify,Bande originale de {Sushi Ben} sur Spotify,Colonna sonora di {Sushi Ben} su Spotify,Trilha sonora de {Sushi Ben} no Spotify,Spotify の {Sushi Ben} サウンドトラック,Spotify에서 듣는 {Sushi Ben} 사운드트랙,Spotify 上的 {Sushi Ben} 原声带,Spotify 上的 {Sushi Ben} 原聲帶
press.fact_sheet.title,Heading | Press Kit fact sheet section,Fact Sheet,Fact Sheet,Ficha técnica,Fiche d’information,Scheda informativa,Ficha técnica,ファクトシート,팩트 시트,资料表,資料表
press.fact_sheet.label_title,Label | Press Kit fact sheet,Title,Titel,Título,Titre,Titolo,Título,タイトル,제목,标题,標題
press.fact_sheet.label_developer,Label | Press Kit fact sheet,Developer,Entwickler,Desarrollador,Développeur,Sviluppatore,Desenvolvedora,開発元,개발사,开发商,開發商
press.fact_sheet.label_genre,Label | Press Kit fact sheet,Genre,Genre,Género,Genre,Genere,Gênero,ジャンル,장르,类型,類型
press.fact_sheet.value_genre,Value text | Press Kit fact sheet,Narrative Adventure,Erzählabenteuer,Aventura narrativa,Aventure narrative,Avventura narrativa,Aventura narrativa,ナラティブアドベンチャー,내러티브 어드벤처,叙事冒险,敘事冒險
press.fact_sheet.label_modes,Label | Press Kit fact sheet,Modes,Modi,Modos,Modes,Modalità,Modos,プレイ人数,플레이 모드,模式,模式
press.fact_sheet.value_modes,Value text | Press Kit fact sheet,Single Player,Einzelspieler,Un jugador,Solo,Giocatore singolo,Um jogador,1人用,싱글 플레이,单人游戏,單人遊戲
press.fact_sheet.label_platforms,Label | Press Kit fact sheet,Platforms,Plattformen,Plataformas,Plateformes,Piattaforme,Plataformas,対応プラットフォーム,플랫폼,平台,平台
press.fact_sheet.label_voice_acting,Label | Press Kit fact sheet,Voice Acting,Sprachausgabe,Doblaje,Doublage,Doppiaggio,Dublagem,音声,음성 지원,配音,配音
press.fact_sheet.value_voice_acting,Value text | Press Kit fact sheet,"English, Japanese","Englisch, Japanisch","Inglés, japonés","Anglais, japonais","Inglese, giapponese","Inglês, japonês",英語、日本語,"영어, 일본어",英语、日语,英語、日語
press.fact_sheet.label_text_languages,Label | Press Kit fact sheet,Text Languages,Textsprachen,Idiomas de texto,Langues du texte,Lingue dei testi,Idiomas de texto,対応テキスト言語,텍스트 언어,文本语言,文字語言
press.fact_sheet.value_text_languages,Value text | Press Kit fact sheet,"English, Japanese, Chinese (Simplified), Chinese (Traditional), Korean, German, French, Italian, Spanish, Portuguese (Brazil), Portuguese (Portugal), Danish, Dutch, Norwegian, Polish, Finnish, Swedish, Turkish, Russian, Ukrainian","Englisch, Japanisch, Chinesisch (vereinfacht), Chinesisch (traditionell), Koreanisch, Deutsch, Französisch, Italienisch, Spanisch, Portugiesisch (Brasilien), Portugiesisch (Portugal), Dänisch, Niederländisch, Norwegisch, Polnisch, Finnisch, Schwedisch, Türkisch, Russisch, Ukrainisch","Inglés, japonés, chino (simplificado), chino (tradicional), coreano, alemán, francés, italiano, español, portugués (Brasil), portugués (Portugal), danés, neerlandés, noruego, polaco, finés, sueco, turco, ruso, ucraniano","Anglais, japonais, chinois (simplifié), chinois (traditionnel), coréen, allemand, français, italien, espagnol, portugais (Brésil), portugais (Portugal), danois, néerlandais, norvégien, polonais, finnois, suédois, turc, russe, ukrainien","Inglese, giapponese, cinese (semplificato), cinese (tradizionale), coreano, tedesco, francese, italiano, spagnolo, portoghese (Brasile), portoghese (Portogallo), danese, olandese, norvegese, polacco, finlandese, svedese, turco, russo, ucraino","Inglês, japonês, chinês (simplificado), chinês (tradicional), coreano, alemão, francês, italiano, espanhol, português (Brasil), português (Portugal), dinamarquês, neerlandês, norueguês, polonês, finlandês, sueco, turco, russo, ucraniano",英語、日本語、中国語（簡体字）、中国語（繁体字）、韓国語、ドイツ語、フランス語、イタリア語、スペイン語、ポルトガル語（ブラジル）、ポルトガル語（ポルトガル）、デンマーク語、オランダ語、ノルウェー語、ポーランド語、フィンランド語、スウェーデン語、トルコ語、ロシア語、ウクライナ語,"영어, 일본어, 중국어(간체), 중국어(번체), 한국어, 독일어, 프랑스어, 이탈리아어, 스페인어, 포르투갈어(브라질), 포르투갈어(포르투갈), 덴마크어, 네덜란드어, 노르웨이어, 폴란드어, 핀란드어, 스웨덴어, 터키어, 러시아어, 우크라이나어",英语、日语、简体中文、繁体中文、韩语、德语、法语、意大利语、西班牙语、葡萄牙语（巴西）、葡萄牙语（葡萄牙）、丹麦语、荷兰语、挪威语、波兰语、芬兰语、瑞典语、土耳其语、俄语、乌克兰语,英語、日語、簡體中文、繁體中文、韓語、德語、法語、義大利語、西班牙語、葡萄牙語（巴西）、葡萄牙語（葡萄牙）、丹麥語、荷蘭語、挪威語、波蘭語、芬蘭語、瑞典語、土耳其語、俄語、烏克蘭語
press.fact_sheet.label_press_contact,Label | Press Kit fact sheet,Press Contact,Pressekontakt,Contacto de prensa,Contact presse,Contatto stampa,Contato de imprensa,プレス連絡先,언론 문의,媒体联系,媒體聯絡
press.fact_sheet.label_business_contact,Label | Press Kit fact sheet,Business Contact,Geschäftskontakt,Contacto comercial,Contact commercial,Contatto business,Contato comercial,ビジネス連絡先,비즈니스 문의,商务联系,商務聯絡
press.quotes.title,Heading | Press Kit quotes section,Quotes / Press,Zitate / Presse,Citas / Prensa,Citations / Presse,Citazioni / Stampa,Citações / Imprensa,引用 / プレス,인용문 / 언론,媒体评价 / 报道,媒體評價 / 報導
press.team_credits.title,Heading | Press Kit cast and credits section,Cast / Credits,Besetzung / Credits,Reparto / Créditos,Distribution / Crédits,Cast / Crediti,Elenco / Créditos,キャスト / クレジット,출연진 / 크레딧,配音 / 制作人员,配音 / 製作人員
press.team_credits.body,Body text | Press Kit cast and credits section,See full team and cast breakdowns on the dedicated pages.,Die vollständige Aufschlüsselung von Team und Besetzung finden Sie auf den entsprechenden Seiten.,Consulta el desglose completo del equipo y del reparto en las páginas dedicadas.,Consultez les pages dédiées pour voir le détail complet de l’équipe et de la distribution.,Consulta le pagine dedicate per vedere il dettaglio completo del team e del cast.,Veja os detalhes completos da equipe e do elenco nas páginas dedicadas.,チームとキャストの詳細は、各専用ページでご覧ください。,전용 페이지에서 팀과 출연진의 전체 정보를 확인하세요.,请在对应页面查看完整的团队与演员信息。,請於對應頁面查看完整的團隊與演員資訊。
press.contact_requests.title,Heading | Press Kit contact and key requests section,Contact / Key Requests,Kontakt / Key-Anfragen,Contacto / Solicitudes de claves,Contact / Demandes de clés,Contatti / Richieste chiavi,Contato / Solicitações de keys,連絡先 / キー申請,문의 / 키 요청,联系 / Key 申请,聯絡 / Key 申請
press.contact_requests.body,Body text | Press Kit contact and key requests section,Press and creator requests should be submitted through PressEngine.,Presse- und Creator-Anfragen sollten über PressEngine eingereicht werden.,Las solicitudes de prensa y de creadores deben enviarse a través de PressEngine.,Les demandes de la presse et des créateurs doivent être envoyées via PressEngine.,Le richieste di stampa e creator devono essere inviate tramite PressEngine.,Solicitações de imprensa e de criadores devem ser enviadas pelo PressEngine.,プレスおよびクリエイター向けの申請は PressEngine から送信してください。,언론 및 크리에이터 요청은 PressEngine을 통해 제출해 주세요.,媒体和创作者请求请通过 PressEngine 提交。,媒體與創作者請求請透過 PressEngine 提交。
press.contact_requests.cta_submit,Button label | Press Kit PressEngine request button,Submit Request,Anfrage einreichen,Enviar solicitud,Envoyer une demande,Invia richiesta,Enviar solicitação,申請を送信,요청 제출,提交申请,提交申請
press.contact_requests.cta_contact,Button label | Press Kit general contact button,General Contact,Allgemeiner Kontakt,Contacto general,Contact général,Contatto generale,Contato geral,一般お問い合わせ,일반 문의,一般联系,一般聯絡
